CLOCK;MEMORY_USED;PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;PAPI_L2_TCA;PAPI_L3_TCA
18903078;10240;327;539;72;456;539
18723716;10240;378;570;8;526;570
22401936;10240;506;700;2;668;700
22458914;10240;505;881;0;598;881
22373296;10240;411;631;0;554;631
22401378;10240;465;649;0;580;649
22406074;10240;490;655;3;586;655
22400454;10240;480;694;2;606;694
22403172;10240;515;717;2;647;717
22368792;10240;369;579;0;524;579
45749234;20480;1147;1202;0;1101;1202
45712758;20480;976;1126;6;1011;1126
45714398;20480;953;1221;6;926;1221
45648446;20480;759;938;11;848;938
45662186;20480;853;942;7;913;942
41359070;20480;1063;1272;2;1015;1272
41509996;20480;968;1166;0;931;1166
41302028;20480;712;902;4;805;902
41347270;20480;784;1100;0;888;1100
41302648;20480;744;899;0;842;899
62362990;30720;2266;1340;4;1951;1340
57785588;30720;1975;1489;8;1779;1489
57625332;30720;2209;1821;6;1891;1821
57751578;30720;2288;1594;15;1940;1594
57544598;30720;1957;1806;13;1686;1806
57809282;30720;2110;1356;15;1829;1356
57690798;30720;2079;1370;24;1786;1370
58245826;30720;2022;1730;16;1732;1730
57579106;30720;2157;1505;10;1879;1505
57543458;30720;2122;1654;22;1801;1654
76857856;40960;3493;2378;21;2778;2378
77311806;40960;3542;2243;0;2836;2243
77813866;40960;3507;1822;15;2809;1822
77342834;40960;3516;2170;7;2775;2170
76871642;40960;3512;2367;4;2829;2367
76953904;40960;3489;1675;3;2762;1675
77004908;40960;3526;2029;3;2827;2029
77267270;40960;3516;1839;2;2816;1839
77529982;40960;3501;1615;12;2787;1615
77309316;40960;3556;2570;5;2873;2570
96780226;51200;4405;4115;63;3491;4115
96673836;51200;4355;2594;43;3410;2594
96640732;51200;4376;2763;24;3434;2763
96625014;51200;4371;2360;7;3431;2360
96215350;51200;4366;2287;9;3429;2287
96597530;51200;4348;2497;21;3395;2497
96782544;51200;4363;2688;26;3434;2688
96662260;51200;4373;2573;22;3435;2573
96309846;51200;4372;2468;4;3428;2468
96697190;51200;4377;2434;9;3421;2434
116159444;61440;5154;2806;10;3955;2806
115880090;61440;5138;2562;28;3967;2562
115928264;61440;5151;3443;13;3972;3443
116062060;61440;5144;4743;18;3959;4743
115783854;61440;5131;2588;39;3980;2588
115884248;61440;5174;3408;42;4016;3408
116475374;61440;5150;3293;38;3970;3293
116415564;61440;5141;3758;35;3941;3758
116331986;61440;5189;3515;46;4030;3515
115890402;61440;5129;3693;23;3972;3693
135567464;71680;5997;4890;34;4579;4890
135193672;71680;6017;3706;27;4601;3706
134989000;71680;5984;3274;20;4575;3274
135060070;71680;6009;3010;33;4608;3010
135311010;71680;5983;4775;33;4567;4775
135160032;71680;6013;3701;37;4609;3701
135362208;71680;5990;6296;44;4563;6296
134953888;71680;5985;3549;11;4574;3549
135719872;71680;6025;4823;32;4610;4823
135105126;71680;6000;3157;68;4605;3157
154893812;81920;6743;5024;12;5088;5024
154332364;81920;6755;4455;90;5121;4455
154677488;81920;6763;4425;74;5094;4425
154616522;81920;6745;3606;72;5113;3606
154457914;81920;6759;5638;28;5093;5638
154780506;81920;6728;3739;32;5089;3739
154799234;81920;6760;7737;31;5087;7737
155138080;81920;6746;3962;68;5099;3962
154311336;81920;6729;5418;39;5027;5418
154889118;81920;6757;4681;33;5093;4681
173940478;92160;7598;7145;33;5721;7145
177437564;92160;7791;13843;35;5924;13843
178245976;92160;7800;12532;49;6002;12532
174162508;92160;7607;4941;47;5733;4941
