CLOCK;MEMORY_USED;PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;PAPI_L2_TCA;PAPI_L3_TCA
19085302;10240;371;576;0;518;576
21313944;10240;649;1063;5;743;1063
23685428;10240;619;1040;3;804;1040
22362752;10240;384;566;0;543;566
23248558;10240;569;1111;0;675;1111
23850978;10240;572;1036;2;662;1036
22400850;10240;505;617;3;643;617
23223146;10240;575;1087;0;722;1087
22460860;10240;504;726;0;575;726
23906056;10240;659;1131;6;801;1131
47652428;20480;1229;2038;6;1327;2038
47701110;20480;1258;2226;5;1257;2226
47353374;20480;1382;2145;8;1370;2145
46541978;20480;1331;1978;0;1285;1978
46574884;20480;1036;1575;2;1019;1575
43617846;20480;1232;1755;4;1206;1755
42554030;20480;1325;1909;7;1355;1909
42306556;20480;1138;1866;0;1160;1866
42486542;20480;995;1702;0;1079;1702
42215686;20480;1177;1915;2;1241;1915
58355704;30720;2165;1966;2;1915;1966
57438438;30720;2076;1358;0;1837;1358
58395538;30720;2196;2039;8;1914;2039
59577040;30720;2458;2951;0;2144;2951
58300456;30720;2214;2072;0;1926;2072
58532344;30720;2400;2582;10;2172;2582
58621778;30720;2179;2097;1;1870;2097
59071740;30720;2204;2696;4;1995;2696
59941554;30720;2467;3317;9;2165;3317
59074334;30720;2530;3301;9;2155;3301
77037426;40960;3538;1988;2;2843;1988
77679556;40960;3579;3236;11;2922;3236
76790910;40960;3526;1915;2;2830;1915
78619244;40960;3637;3400;13;2992;3400
77619068;40960;3566;2523;6;2917;2523
79372920;40960;3611;4699;2;2957;4699
76739636;40960;3508;2313;0;2823;2313
77966386;40960;3587;2984;6;2923;2984
76941832;40960;3499;1836;0;2787;1836
78819350;40960;3641;3685;4;2995;3685
96253660;51200;4353;2279;0;3444;2279
97577816;51200;4448;4246;5;3560;4246
97954196;51200;4485;5059;4;3606;5059
97970610;51200;4450;5345;7;3549;5345
96984992;51200;4421;3993;0;3548;3993
97879214;51200;4458;4319;4;3582;4319
98116826;51200;4448;4554;17;3570;4554
97083438;51200;4418;3681;4;3518;3681
98566530;51200;4407;4642;1;3500;4642
97936126;51200;4455;5127;6;3569;5127
117123332;61440;5280;5093;11;4175;5093
116314736;61440;5190;4395;0;4060;4395
117620088;61440;5285;6210;15;4173;6210
116378592;61440;5190;4904;2;4069;4904
