CLOCK;MEMORY_USED;PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;PAPI_L2_TCA;PAPI_L3_TCA
3793980846;2048000;162403;361192;62599;159068;361192
3793780418;2048000;162438;361491;61658;159021;361491
3794693436;2048000;162302;361606;63795;158908;361606
3793786340;2048000;162353;361240;60720;159016;361240
3794145242;2048000;162209;361211;58947;158738;361211
3793850656;2048000;162451;361145;51955;159016;361145
3794407768;2048000;162468;361486;62335;159073;361486
3794259586;2048000;162850;361449;64686;159527;361449
3793726604;2048000;162244;361376;57358;158709;361376
3795349792;2048000;162354;361541;60389;158948;361541
3983504130;2150400;170504;379718;65193;166878;379718
3984310212;2150400;170605;379885;67871;167040;379885
3983403882;2150400;170395;379406;66902;166825;379406
3983439606;2150400;170435;379492;65319;166826;379492
3984268004;2150400;170438;379265;68568;166854;379265
3984053118;2150400;170635;379527;67469;167101;379527
3984123998;2150400;170627;379713;69218;167122;379713
3989688084;2150400;170709;379669;68302;167179;379669
3983764312;2150400;170633;379194;62536;167144;379194
3984285936;2150400;170300;382055;66504;166628;382055
4173643870;2252800;178472;396965;69526;174512;396965
4173155888;2252800;178702;397123;72122;174814;397123
4162579496;2252800;210270;464816;19457;206474;464816
4173500944;2252800;178064;400303;66896;174135;400303
4174016392;2252800;178483;400524;73976;174626;400524
4173998504;2252800;178429;400185;71379;174541;400185
4173802254;2252800;178431;400448;69473;174540;400448
4173306936;2252800;178353;399939;65953;174446;399939
4173073400;2252800;178497;400514;69912;174658;400514
4172172046;2252800;210271;469870;18183;206320;469870
4357158038;2355200;186795;417908;144407;182746;417908
4364014404;2355200;186528;418343;67739;182387;418343
4368495908;2355200;186073;418196;76248;182242;418196
4362616544;2355200;186455;414604;71116;182362;414604
4363877590;2355200;186668;415200;80590;182577;415200
4360883668;2355200;218389;488353;20740;214247;488353
4368719544;2355200;186814;418797;76736;182730;418797
4363396692;2355200;186454;418456;74913;182407;418456
4362774664;2355200;186884;418672;74042;182755;418672
4362552744;2355200;186603;418374;73062;182495;418374
4532696114;2457600;194867;436581;79538;190687;436581
4551115228;2457600;226845;506865;26791;222560;506865
4543734844;2457600;194846;436623;80915;190547;436623
4552930760;2457600;194825;436660;74397;190579;436660
4551048672;2457600;226483;506975;24720;222139;506975
4552818002;2457600;194789;437116;78108;190556;437116
