CLOCK;MEMORY_USED;PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;PAPI_L2_TCA;PAPI_L3_TCA
3792718426;2048000;162035;352259;2409;114272;352259
3793382848;2048000;162019;351844;2776;114244;351844
3792708114;2048000;161976;351776;2719;114221;351776
3793305974;2048000;162108;352116;2624;114399;352116
3796965362;2048000;162230;357080;91362;113592;357080
3793070180;2048000;162304;352442;2628;114577;352442
3792744406;2048000;162404;352082;2402;114731;352082
3792742314;2048000;162052;352113;2561;114300;352113
3792158194;2048000;162117;351934;2285;114335;351934
3791833490;2048000;162014;352271;2546;114292;352271
3981499790;2150400;170156;370026;2622;119976;370026
3981049990;2150400;202109;439103;455;151843;439103
3982833624;2150400;170280;370136;2840;120207;370136
3983601556;2150400;170253;370101;3004;120126;370101
3982558726;2150400;170251;369533;2617;120128;369533
3982275290;2150400;170266;369875;2659;120116;369875
3981743222;2150400;170347;369866;2730;120195;369866
3982339306;2150400;170549;370112;2685;120419;370112
3982527686;2150400;170407;370197;2758;120222;370197
3983032764;2150400;171052;371093;3132;121140;371093
4171020956;2252800;178661;388050;2683;126168;388050
4171817952;2252800;178708;387833;2865;126250;387833
4171664038;2252800;178752;388188;3384;126222;388188
4169655062;2252800;210282;457779;655;157538;457779
4152152656;2252800;178715;387755;3569;126342;387755
4171144868;2252800;178404;387676;3194;125857;387676
4172157294;2252800;178805;387553;3670;126269;387553
4171881542;2252800;178556;387694;3402;126035;387694
4171998384;2252800;178607;387785;3762;126201;387785
4171864910;2252800;179207;387598;3921;126820;387598
4362727456;2355200;187210;404990;4886;132439;404990
4361778022;2355200;186750;405391;2838;131846;405391
4361667324;2355200;186623;405290;3621;131705;405290
4359701814;2355200;218400;475561;566;163268;475561
4362582562;2355200;186870;405749;3826;131896;405749
4361732984;2355200;186790;405482;3172;131935;405482
4337339460;2355200;186572;405493;2873;131580;405493
4361160922;2355200;187320;405662;3176;132400;405662
4361499108;2355200;186871;405766;3681;131929;405766
4360012098;2355200;218476;475769;687;163377;475769
4550210080;2457600;194979;423254;3698;137620;423254
4551370580;2457600;194943;423355;3575;137543;423355
4552676254;2457600;195286;423320;4370;137992;423320
4551940450;2457600;194881;423325;4996;137538;423325
4551507368;2457600;195057;423031;4300;137710;423031
4526949776;2457600;226404;493052;942;168965;493052
4533713210;2457600;194758;423633;4057;137399;423633
4538897122;2457600;194652;422910;3351;137342;422910
4543183912;2457600;195077;423231;4388;137707;423231
4551310374;2457600;195081;423105;3829;137826;423105
4740665674;2560000;203130;440811;3924;143400;440811
4739724646;2560000;203082;440687;3638;143314;440687
4744722946;2560000;203290;446936;120477;139177;446936
4747687530;2560000;234734;512631;42762;173013;512631
4742061962;2560000;203209;441247;4244;143497;441247
4739899736;2560000;234543;510571;2237;174634;510571
4740532368;2560000;203510;440894;3953;143810;440894
4741911092;2560000;202978;440605;5083;143199;440605
4738799180;2560000;234857;510942;1191;174921;510942
4741128244;2560000;203433;441138;5074;143666;441138
4929431294;2662400;211072;458464;4089;148774;458464
4923026462;2662400;242693;528287;860;180451;528287
4929173990;2662400;211244;458053;3736;149033;458053
4927409570;2662400;211637;458652;5684;149577;458652
4930370006;2662400;211524;459790;3819;149498;459790
4931416736;2662400;211348;458540;4071;149333;458540
4930784172;2662400;242756;528244;1028;180461;528244
4931066042;2662400;211352;458319;4210;149378;458319
4927567768;2662400;242595;528445;1106;180293;528445
4926140454;2662400;210846;458366;5378;148784;458366
5119117910;2764800;219624;476239;4304;155082;476239
5116089474;2764800;219279;476121;4838;154757;476121
5117815462;2764800;250715;545978;1102;186051;545978
5107886784;2764800;219336;482821;128124;154434;482821
5120425638;2764800;219618;476407;4411;155150;476407
5119781524;2764800;219273;476105;4908;154818;476105
5118400974;2764800;250804;546119;980;186137;546119
5118468624;2764800;219434;476049;4748;154942;476049
5120153980;2764800;220159;477543;6248;155703;477543
5106776788;2764800;219728;476766;5979;155098;476766
5307111434;2867200;258876;563551;1592;191722;563551
5309593242;2867200;227604;493622;6734;160736;493622
5310460862;2867200;227908;493820;6403;160920;493820
5308555332;2867200;258957;563279;2662;191987;563279
5310327594;2867200;227658;494042;6943;160537;494042
5308612462;2867200;227492;493570;4791;160461;493570
5308669896;2867200;227769;493698;4808;160786;493698
5307281756;2867200;259248;563887;1281;192116;563887
5310457996;2867200;227513;493816;5549;160624;493816
5307934106;2867200;258866;563801;2060;191716;563801
5497580676;2969600;266921;581194;2027;197462;581194
5498265370;2969600;235389;511240;5523;165976;511240
5500908786;2969600;235950;511914;11151;166294;511914
5499140830;2969600;235477;511354;5303;166076;511354
5498621096;2969600;266914;580667;2783;197492;580667
5498300934;2969600;235789;511186;5650;166376;511186
5498550746;2969600;235800;511532;5300;166443;511532
5500891812;2969600;235766;511344;4676;166463;511344
5499373516;2969600;235535;512488;5460;166188;512488
5497370102;2969600;266902;580982;1573;197401;580982
5686617332;3072000;275065;598932;1613;203218;598932
5686533788;3072000;275012;598546;2055;203129;598546
5688954668;3072000;243878;529473;7247;172169;529473
5687482834;3072000;243904;528752;5054;172241;528752
5687167294;3072000;274996;598718;3174;203088;598718
5688353360;3072000;244202;529211;6716;172504;529211
5687772510;3072000;243984;529426;5760;172305;529426
5686256416;3072000;274935;599033;3012;202999;599033
5688787722;3072000;243987;528771;6151;172216;528771
5687006756;3072000;275331;598336;1927;203472;598336
5877366674;3174400;283127;616092;3079;208901;616092
5877983274;3174400;252062;546627;5546;177992;546627
5877142690;3174400;283540;616050;2570;209404;616050
5856504926;3174400;282869;616208;2462;208500;616208
5877607960;3174400;283290;616272;2403;209093;616272
5876084046;3174400;283050;616601;2428;208710;616601
5876016402;3174400;283157;616361;2616;208902;616361
5876657536;3174400;283197;616708;3029;208951;616708
5873167292;3174400;283198;616217;2831;208907;616217
5863795310;3174400;251982;546512;7169;177920;546512
6044856134;3276800;260138;564206;7594;183795;564206
6067749890;3276800;291574;634146;3531;214991;634146
6067818640;3276800;260367;564108;6798;183877;564108
6066658554;3276800;291382;634853;3745;214718;634853
6069226750;3276800;260540;565364;22391;183482;565364
6067919234;3276800;260148;564690;7999;183673;564690
6068388960;3276800;260250;564790;8014;183870;564790
6068827830;3276800;260344;564452;8775;183974;564452
6068599238;3276800;260320;564947;12145;183843;564947
6068054640;3276800;291401;634263;2947;214857;634263
6259242744;3379200;269009;590435;166115;189777;590435
6256489016;3379200;299154;651236;4371;220005;651236
6255438220;3379200;299114;650877;4077;219938;650877
6254917862;3379200;299662;652389;1040;220754;652389
6257578804;3379200;268497;582390;9198;189570;582390
6256840468;3379200;268154;581347;7507;189053;581347
6255369236;3379200;298941;650131;3173;219758;650131
6266739022;3379200;299098;657286;130154;214745;657286
6252183328;3379200;299008;652734;30386;218326;652734
6259005910;3379200;268492;582310;8536;189735;582310
6446274068;3481600;307544;669143;4675;226211;669143
6445165004;3481600;307598;669254;4609;226256;669254
6445321288;3481600;307303;669167;4681;225875;669167
6446817488;3481600;307501;669561;3682;226078;669561
6446847156;3481600;276325;600176;9856;195063;600176
6445863888;3481600;307019;668075;5248;225468;668075
6430142498;3481600;307117;668302;4376;225609;668302
6446547732;3481600;276413;599067;7930;194956;599067
6445116328;3481600;307166;668177;3371;225615;668177
6444804762;3481600;307032;668008;3160;225464;668008
6634593956;3584000;315235;686412;6027;231268;686412
6633543470;3584000;315231;686494;4693;231201;686494
6634058510;3584000;315185;686522;5138;231181;686522
6636376232;3584000;284673;616925;11462;200841;616925
6634091824;3584000;315775;686113;4485;231777;686113
6635025510;3584000;315405;686316;4188;231358;686316
6624624972;3584000;315308;686444;5922;231410;686444
6635325180;3584000;315290;686611;5873;231254;686611
6634772770;3584000;315370;686350;4079;231399;686350
6633995318;3584000;315182;686217;4968;231144;686217
6824793326;3686400;323350;704031;6353;236955;704031
6825107366;3686400;323095;703769;7041;236564;703769
6828423460;3686400;323492;704334;9429;237011;704334
6824056818;3686400;323346;703626;4621;236973;703626
6824242384;3686400;323441;704095;4206;237050;704095
6824667654;3686400;323362;704078;4533;236896;704078
6797450304;3686400;323177;704036;5965;236778;704036
6824668294;3686400;323775;705600;4714;237368;705600
6825043306;3686400;323362;704141;4129;236951;704141
6825194972;3686400;323229;703358;4292;236876;703358
7017755654;3788800;300678;652249;10292;211957;652249
6997483314;3788800;331522;721921;4887;242747;721921
7015211004;3788800;331556;721537;5890;242841;721537
7013634978;3788800;331422;721127;4709;242566;721127
7018067644;3788800;300647;657757;117465;205945;657757
7014425338;3788800;331476;720921;5761;242774;720921
7014281398;3788800;331524;721025;6574;242868;721025
7015497386;3788800;331522;721559;5506;242712;721559
7014094886;3788800;331477;721696;4086;242657;721696
6997317496;3788800;331357;721723;4490;242539;721723
7205877740;3891200;308971;669962;11192;218001;669962
7194708310;3891200;339591;739550;7601;248328;739550
7204071852;3891200;339556;739035;7844;248303;739035
7201996344;3891200;339565;739171;6827;248320;739171
7204802156;3891200;339789;739648;6788;248621;739648
7203241982;3891200;339677;739589;6422;248461;739589
7189292114;3891200;339664;739285;7470;248467;739285
7206436752;3891200;339710;741565;52996;248370;741565
7197603018;3891200;339714;739792;7180;248475;739792
7204220072;3891200;339620;739365;6305;248234;739365
7394503918;3993600;347744;756830;8932;254104;756830
7367970734;3993600;347524;756516;7085;253852;756516
7393935904;3993600;347754;756857;7360;254153;756857
7374635624;3993600;316977;687982;18239;223558;687982
7394681360;3993600;347569;756549;6374;253999;756549
7375123284;3993600;348020;758381;5949;254482;758381
7394573220;3993600;347791;757164;8582;254079;757164
7382674402;3993600;347809;756956;6629;254242;756956
7393323916;3993600;347849;756698;5704;254371;756698
7390181750;3993600;347603;756893;6316;253985;756893
7582669506;4096000;355644;774301;7300;259698;774301
7583084144;4096000;356162;775382;9087;260176;775382
7586059704;4096000;355807;776496;40022;257718;776496
7583493464;4096000;355975;774739;7933;260075;774739
7582091400;4096000;356141;774782;3556;260324;774782
7582325824;4096000;356215;774625;6944;260402;774625
7582225008;4096000;356094;774760;5748;260216;774760
7582228554;4096000;356012;774696;6062;260121;774696
7583548720;4096000;356301;775332;9389;260509;775332
7583075516;4096000;356133;775169;6546;260218;775169
7775347984;4198400;363994;793219;26686;264729;793219
7773064828;4198400;364389;792669;8257;266097;792669
7772440022;4198400;364307;792613;7845;265975;792613
7772097110;4198400;364041;792666;8245;265656;792666
7775074504;4198400;363869;792364;9193;265497;792364
7772233472;4198400;363827;792141;9044;265436;792141
7772338936;4198400;363998;792432;8842;265622;792432
7773553154;4198400;364101;791560;9707;265834;791560
7771280058;4198400;364015;791884;6632;265657;791884
7770877846;4198400;364420;800388;8583;266162;800388
7960850570;4300800;372496;818699;10945;271737;818699
7958647908;4300800;404635;888522;1501;303921;888522
7961450082;4300800;372082;810474;7714;271309;810474
7963042530;4300800;372740;811838;11486;272026;811838
7961471022;4300800;372568;811011;8703;271769;811011
7961424874;4300800;372549;810923;9851;271835;810923
7952160114;4300800;372700;811040;12704;272067;811040
7961476040;4300800;372358;811071;10464;271609;811071
7961401424;4300800;372625;810739;9412;271838;810739
7964065158;4300800;372843;811748;16108;272127;811748
8151212414;4403200;380627;828442;13132;277433;828442
8151501912;4403200;380493;828120;10262;277198;828120
8152583080;4403200;380978;829040;11917;277923;829040
8151346060;4403200;380571;828700;12381;277348;828700
8150118190;4403200;412240;897704;1756;309041;897704
8152167762;4403200;380824;830672;28661;277581;830672
8150676838;4403200;380766;829732;18215;277544;829732
8151299846;4403200;380798;829097;12649;277622;829097
8141303716;4403200;380706;829609;27502;277512;829609
8152893160;4403200;381431;830711;26609;278181;830711
8340635570;4505600;389318;847029;22445;283624;847029
8343941780;4505600;389622;859583;256712;279531;859583
8322958548;4505600;389205;846877;24909;283526;846877
8341731852;4505600;388891;847298;26701;283205;847298
8341976804;4505600;389114;847763;26762;283517;847763
8341251178;4505600;388437;851016;10373;282837;851016
8342016806;4505600;388975;847726;26178;283344;847726
8342369474;4505600;389070;848039;30468;283245;848039
8341546774;4505600;388916;847219;21934;283233;847219
8341531918;4505600;388912;847578;22613;283233;847578
8531323032;4608000;397125;865587;26562;288920;865587
8531691578;4608000;396925;865123;24899;288820;865123
8528721784;4608000;428345;933152;3068;320198;933152
8524101090;4608000;397446;871755;151197;282219;871755
8531090146;4608000;397127;864449;15637;289060;864449
8531233402;4608000;397067;864667;15396;289061;864667
8529397098;4608000;428599;933141;3846;320544;933141
8531087950;4608000;397512;864678;24877;289459;864678
8532636856;4608000;428363;932771;3309;320321;932771
8531424532;4608000;397398;864788;17770;289432;864788
8723901616;4710400;405022;882726;17048;294548;882726
8720043356;4710400;405078;882734;16560;294615;882734
8721896808;4710400;405086;881897;16555;294686;881897
8720392912;4710400;405031;882061;16295;294593;882061
8720729034;4710400;405168;882400;12509;294813;882400
8697009690;4710400;405169;894267;249952;289819;894267
8719215510;4710400;436629;951072;6337;326255;951072
8720866768;4710400;404887;883036;29876;294339;883036
8719356742;4710400;436640;950645;5015;326288;950645
8725357134;4710400;405195;882616;19549;294690;882616
8908890322;4812800;413319;907831;13546;300628;907831
8908588334;4812800;413159;907960;22269;300480;907960
8910837100;4812800;413010;907816;20333;300352;907816
8910231340;4812800;413969;908702;21123;301342;908702
8909733542;4812800;413290;907847;18920;300649;907847
8909960846;4812800;413125;907470;17211;300496;907470
8909193160;4812800;413153;907791;15884;300469;907791
8909418274;4812800;413214;907670;14990;300537;907670
8909041066;4812800;413422;908240;18858;300783;908240
8909772954;4812800;413814;908291;17828;301073;908291
9099828524;4915200;421289;924965;20501;306121;924965
9098743528;4915200;421125;925195;20789;305912;925195
9098963514;4915200;421372;925327;15246;306192;925327
9099488928;4915200;421413;925522;20556;306260;925522
9097976928;4915200;421264;925691;16013;306100;925691
9099497044;4915200;421477;926328;15864;306434;926328
9099794494;4915200;421123;925830;20345;306021;925830
9096619934;4915200;452440;995261;5787;337276;995261
9097865092;4915200;452555;995231;4948;337411;995231
9099476502;4915200;421353;925351;25324;306169;925351
9287596814;5017600;430195;943005;15719;312669;943005
9244115514;5017600;460454;1013189;4530;342835;1013189
9289347578;5017600;429754;944157;34428;312089;944157
9287731122;5017600;460675;1013548;10113;343044;1013548
9289134402;5017600;429643;943451;31795;312015;943451
9288348438;5017600;429467;942980;17974;311992;942980
9287986600;5017600;460714;1014139;8190;343129;1014139
9289281178;5017600;429312;943470;35903;311542;943470
9286780986;5017600;460877;1012872;5495;343175;1012872
9288447300;5017600;429377;942991;21226;311630;942991
9479555794;5120000;437763;960784;26652;317789;960784
9478374956;5120000;437650;960863;20039;317672;960863
9479023096;5120000;437570;953972;34860;317369;953972
9479118208;5120000;437465;953715;35080;317229;953715
9479812116;5120000;437589;954749;43444;317221;954749
9480226130;5120000;468935;1021280;11540;348953;1021280
9478538994;5120000;437467;951822;20807;317377;951822
9478076908;5120000;468693;1030904;7571;348700;1030904
9476728446;5120000;468715;1031130;9331;348838;1031130
9478611340;5120000;437782;961589;43129;317620;961589
9668789316;5222400;445873;979130;36917;323345;979130
9667840660;5222400;445796;979155;37186;323223;979155
9667487412;5222400;476696;1048987;10871;354292;1048987
9639668096;5222400;445574;978102;20974;323174;978102
9668689204;5222400;445858;978429;24176;323517;978429
9666440822;5222400;476783;1049134;15196;354348;1049134
9666391416;5222400;476763;1049127;11392;354382;1049127
9670554782;5222400;446311;971648;37896;323283;971648
9670355484;5222400;445624;972335;57381;322647;972335
9667246626;5222400;477260;1040663;37531;354195;1040663
9838768396;5324800;454416;1000389;289684;320196;1000389
9859552598;5324800;453889;987449;29912;328784;987449
9815406104;5324800;484622;1058835;47453;359109;1058835
9857497022;5324800;484682;1058170;37324;359227;1058170
9857918246;5324800;485410;1058178;34637;360022;1058178
9859681116;5324800;485004;1063642;13466;360087;1063642
9865022436;5324800;453537;994298;39177;328031;994298
9838120378;5324800;484800;1063417;8947;359809;1063417
9837866902;5324800;484624;1063566;11213;359591;1063566
9844787530;5324800;453826;987980;30592;328901;987980
10045982794;5427200;492866;1075700;33762;364963;1075700
10049043370;5427200;461975;1005167;29807;334519;1005167
10035929236;5427200;462364;1005592;28218;335096;1005592
10047901302;5427200;462038;1005657;36125;334644;1005657
10051979842;5427200;461799;1005931;38113;334394;1005931
10038863666;5427200;462038;1005533;34567;334520;1005533
10040443410;5427200;492840;1076341;40550;364821;1076341
10047823322;5427200;492867;1076279;39742;364806;1076279
10048535846;5427200;461972;1005447;31129;334565;1005447
10048846734;5427200;462008;1005825;35508;334557;1005825
10239015466;5529600;470390;1024853;38416;340303;1024853
10221757672;5529600;501058;1094927;51950;370464;1094927
10237686010;5529600;500931;1094201;40623;370495;1094201
10237008616;5529600;500973;1094453;51748;370583;1094453
10237157442;5529600;501568;1094579;40295;371211;1094579
10238332462;5529600;470101;1023154;30379;340240;1023154
10239053704;5529600;470397;1025759;38668;340427;1025759
10237024438;5529600;501570;1094513;47345;370963;1094513
10239490370;5529600;470119;1023662;34068;340197;1023662
10238599674;5529600;469987;1023464;35793;340078;1023464
10425876866;5632000;509006;1112317;46292;376187;1112317
10428635076;5632000;478088;1041684;42352;345728;1041684
10426731536;5632000;509037;1112350;45510;376139;1112350
10427454734;5632000;509085;1112317;51215;376172;1112317
10426767466;5632000;508922;1146408;14190;376584;1146408
10427581742;5632000;509180;1116681;15616;376880;1116681
10428907190;5632000;477791;1049884;78695;344175;1049884
10426030514;5632000;509107;1116380;13576;376917;1116380
10428026940;5632000;509141;1117135;16805;376791;1117135
10428543458;5632000;478901;1049699;60251;346236;1049699
10616632928;5734400;517304;1134700;19141;382576;1134700
10616386410;5734400;517381;1128982;53871;382133;1128982
10600439414;5734400;517811;1130084;49079;382543;1130084
10594767562;5734400;517148;1130462;57922;381518;1130462
10615551590;5734400;517118;1130767;59168;381597;1130767
10615963378;5734400;517253;1129382;44874;382145;1129382
10617264440;5734400;486423;1059079;38430;351643;1059079
10615890030;5734400;517266;1130523;52782;382000;1130523
10615458044;5734400;517114;1131411;67328;381573;1131411
10617060458;5734400;517143;1130870;65218;381778;1130870
10768540248;5836800;494448;1092507;358963;354117;1092507
10800394908;5836800;525280;1148733;61872;387468;1148733
10807578382;5836800;495374;1077797;53980;357899;1077797
10804309822;5836800;525522;1147355;50664;387887;1147355
10794960590;5836800;525885;1149387;63688;388131;1149387
10805854848;5836800;525325;1148981;68852;387421;1148981
10807601762;5836800;525404;1152043;20396;388407;1152043
10806776932;5836800;525363;1151813;24667;388190;1151813
10806194250;5836800;525212;1185785;96300;386429;1185785
10808056068;5836800;525352;1152291;18825;388193;1152291
11000178876;5939200;502486;1100828;43022;362855;1100828
10996661322;5939200;533464;1171165;26865;394002;1171165
10996130706;5939200;533236;1170662;32162;393601;1170662
10995853990;5939200;533355;1170365;22453;393921;1170365
10997507936;5939200;502534;1103701;73186;362273;1103701
11000853744;5939200;502350;1104363;85692;361688;1104363
10996772578;5939200;533501;1170884;31584;393733;1170884
10996445922;5939200;534264;1171122;28157;394631;1171122
10996488762;5939200;533591;1170457;23326;393974;1170457
10997134680;5939200;533511;1171973;36721;393861;1171973
11144937392;6041600;541431;1188107;22880;399299;1188107
11139126702;6041600;541422;1188573;29267;399405;1188573
11190359682;6041600;510893;1121788;78256;368356;1121788
11185845848;6041600;541658;1188363;28530;399547;1188363
11185428900;6041600;542141;1188144;27136;400095;1188144
11185573946;6041600;541589;1187744;20957;399752;1187744
11186001830;6041600;541513;1189364;43134;399081;1189364
11185840130;6041600;541632;1188354;26766;399613;1188354
11181315040;6041600;541545;1206327;376503;398459;1206327
11185951724;6041600;542461;1188434;27254;400518;1188434
11377273748;6144000;550312;1207575;39658;405610;1207575
11377420860;6144000;549377;1206682;30107;405164;1206682
11374531314;6144000;549729;1206437;29336;405202;1206437
11375559256;6144000;549628;1202529;72523;404398;1202529
11374699740;6144000;549616;1203000;80698;404315;1203000
11374618608;6144000;549679;1203953;87065;404352;1203953
11374873422;6144000;549382;1202602;83731;404048;1202602
11364370726;6144000;519797;1148192;420969;373631;1148192
11373491394;6144000;549607;1202091;66010;404533;1202091
11374300946;6144000;549595;1202584;78803;404260;1202584
11564212880;6246400;557773;1219828;70180;410255;1219828
11563696970;6246400;557842;1221976;80557;410158;1221976
11564565326;6246400;557919;1220541;85500;410338;1220541
11564021998;6246400;557672;1219956;84737;409944;1219956
11536218396;6246400;558632;1221616;94758;410712;1221616
11564340250;6246400;557941;1220598;89833;410085;1220598
11565621286;6246400;557925;1221391;102779;410023;1221391
11564368536;6246400;557778;1220132;76616;410128;1220132
11563525644;6246400;557829;1220803;83559;410051;1220803
11565135700;6246400;557800;1221064;89555;409842;1221064
11752979004;6348800;565928;1238268;79798;415343;1238268
11757918892;6348800;566226;1250856;308126;413001;1250856
11750994526;6348800;566494;1235694;43297;417097;1235694
11754068026;6348800;565784;1239194;85290;415521;1239194
11753614744;6348800;565922;1238063;78343;415847;1238063
11754816496;6348800;565995;1238727;88903;415538;1238727
11753264206;6348800;566398;1235027;32572;417262;1235027
11754326940;6348800;566208;1236167;55019;416648;1236167
11753802800;6348800;565960;1235663;52621;416229;1235663
11752620922;6348800;566198;1235367;40391;416855;1235367
11943742408;6451200;574396;1253702;51349;422592;1253702
11944219534;6451200;574617;1253276;44899;422831;1253276
11944725902;6451200;574385;1252438;39885;422719;1252438
11943095154;6451200;607028;1339933;401663;447564;1339933
11944619378;6451200;574497;1259212;129293;421002;1259212
11943273054;6451200;574446;1258636;120885;420970;1258636
11943545502;6451200;574432;1259077;127974;420977;1259077
11919806212;6451200;574567;1260887;158635;420482;1260887
11943026748;6451200;574377;1259454;130885;420917;1259454
11942875988;6451200;574470;1259495;129813;421126;1259495
12133901126;6553600;582714;1279349;169650;426738;1279349
12133045010;6553600;583457;1276973;129872;427648;1276973
12066797484;6553600;582649;1276990;137790;426553;1276990
12133226014;6553600;582787;1278145;144887;426945;1278145
12133124554;6553600;582466;1277667;143020;426338;1277667
12134265688;6553600;582195;1278426;54402;427675;1278426
12133136424;6553600;582483;1271898;61114;427866;1271898
12135124100;6553600;582806;1279500;173320;426545;1279500
12133236312;6553600;582558;1276880;143196;426497;1276880
12133271288;6553600;582621;1277565;138764;426926;1277565
12328334008;6656000;590757;1311230;501564;428093;1311230
12323308676;6656000;590787;1296939;162428;432081;1296939
12323210516;6656000;590694;1295863;156963;432265;1295863
12321559942;6656000;622978;1359226;55791;465667;1359226
12326354246;6656000;591660;1289507;55959;434987;1289507
12322212156;6656000;590815;1290426;60292;434002;1290426
12322205168;6656000;590710;1288900;49869;433933;1288900
12323283880;6656000;590836;1289367;54607;434129;1289367
12321189836;6656000;591111;1294034;133820;429467;1294034
12325084410;6656000;590847;1290710;73095;433976;1290710
12511952846;6758400;598923;1307438;58852;439612;1307438
12513656958;6758400;598885;1307275;64019;439637;1307275
12512398304;6758400;630163;1377642;70432;470572;1377642
12522060960;6758400;630279;1392446;390318;461398;1392446
12513119704;6758400;598763;1307603;63301;439916;1307603
12512671202;6758400;630266;1377660;69632;470604;1377660
12514096072;6758400;598950;1308496;87608;439258;1308496
12513713958;6758400;599501;1308733;86296;440004;1308733
12512412262;6758400;598828;1308086;78939;439512;1308086
12512039780;6758400;598721;1307006;55917;439558;1307006
12703277904;6860800;606946;1324105;61588;445282;1324105
12700552098;6860800;638013;1394662;67310;475545;1394662
12699023336;6860800;639226;1394236;62097;477202;1394236
12699196948;6860800;638259;1396197;84239;475648;1396197
12701526414;6860800;607011;1326106;70574;445465;1326106
12701917388;6860800;606824;1325038;69204;444969;1325038
12700106984;6860800;638120;1395741;76681;475850;1395741
12700318812;6860800;638259;1394709;68053;476200;1394709
12702293772;6860800;606881;1325794;76224;445258;1325794
12704962696;6860800;607055;1326252;67167;445512;1326252
12889599804;6963200;646343;1412837;68372;481772;1412837
12891832944;6963200;615220;1352201;199599;449066;1352201
